City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,luderitz,-26.6481,15.1594,17.67,73,0,9.76,NA,1689698804
83,vilyuchinsk,52.9306,158.4028,11.15,90,12,3.76,RU,1689698804
84,kapshagay,43.8833,77.0833,29.62,21,17,0.93,KZ,1689698804
85,invercargill,-46.4,168.35,8.94,76,38,4.69,NZ,1689698805
86,mwembe,-4.15,37.85,20.93,58,63,3.79,TZ,1689698805
87,blackmans bay,-43.0167,147.3167,6.52,69,34,6.21,AU,1689698570
88,coruripe,-10.1256,-36.1756,26.28,72,14,5.09,BR,1689698805
89,kerikeri,-35.2268,173.9474,6.62,92,12,1.45,NZ,1689698805
90,udachny,66.4167,112.4,14.6,72,83,6.54,RU,1689698805
91,nova sintra,14.8667,-24.7167,22.6,75,25,7.0,CV,1689698806
92,houmt el souk,33.8758,10.8575,33.97,46,0,4.63,TN,1689698806
93,atafu village,-8.5421,-172.5159,27.11,82,84,3.38,TK,1689698806
94,guiuan,11.0333,125.7247,27.37,80,89,4.06,PH,1689698806
95,christiana,-27.914,25.1611,15.13,25,0,4.56,ZA,1689698806
96,port mathurin,-19.6833,63.4167,23.47,82,100,11.65,MU,1689698670
97,constantia,44.1833,28.65,31.38,53,49,6.37,RO,1689698668
98,kokoda,-8.8785,147.7407,20.82,89,100,2.34,PG,1689698807
99,ushuaia,-54.8,-68.3,3.81,65,40,0.51,AR,1689698608
100,puerto ayora,-0.7393,-90.3518,28.98,90,52,4.47,EC,1689698554
101,moroni,-11.7022,43.2551,25.01,81,8,5.34,KM,1689698807
102,taraz,42.9,71.3667,28.23,32,10,5.0,KZ,1689698807
103,hithadhoo,-0.6,73.0833,27.66,73,56,1.01,MV,1689698807
104,kargasok,59.0556,80.8572,15.94,75,31,1.12,RU,1689698807
105,pariaman,-0.619,100.12,25.03,88,100,1.71,ID,1689698739
106,tanumah,27.1,44.1333,38.33,8,0,4.61,SA,1689698808
107,tafuna,-14.3358,-170.72,25.97,94,100,4.63,AS,1689698808
108,kununurra,-15.7667,128.7333,20.99,60,100,2.57,AU,1689698808
109,tazovsky,67.4667,78.7,14.43,71,60,5.22,RU,1689698808
110,hamilton,39.1834,-84.5333,28.27,77,40,3.09,US,1689698553
111,byron bay,-28.65,153.6167,12.62,91,62,3.92,AU,1689698549
112,guerrero negro,27.9769,-114.0611,24.9,59,1,5.61,MX,1689698788
113,jamestown,42.097,-79.2353,25.01,60,20,4.12,US,1689698809
114,tiksi,71.6872,128.8694,4.86,75,22,4.08,RU,1689698809
115,okhotsk,59.3833,143.3,13.89,75,34,1.19,RU,1689698809
116,badger,64.8,-147.5333,16.56,88,75,1.54,US,1689698809
117,el bauga,18.262,33.9081,39.47,8,91,3.48,SD,1689698810
118,sur,22.5667,59.5289,34.51,50,76,3.14,OM,1689698810
119,taltal,-25.4,-70.4833,20.49,58,60,2.03,CL,1689698632
120,arraial do cabo,-22.9661,-42.0278,23.92,78,40,5.14,BR,1689698810
121,prince george,53.9166,-122.753,17.92,56,0,5.66,CA,1689698291
122,pakxan,18.3778,103.6601,25.07,97,100,0.26,LA,1689698810
123,east london,-33.0153,27.9116,17.52,82,0,2.06,ZA,1689698811
124,west island,-12.1568,96.8225,25.99,78,75,10.29,CC,1689698811
125,avarua,-21.2078,-159.775,21.03,94,75,2.57,CK,1689698811
126,haiku-pauwela,20.9219,-156.3051,24.59,79,40,5.66,US,1689698811
127,yerofey pavlovich,53.9667,121.9667,17.15,98,100,1.12,RU,1689698811
128,north logan,41.7694,-111.8047,30.21,24,44,3.24,US,1689698684
129,talnakh,69.4865,88.3972,13.11,84,100,6.38,RU,1689698599
130,oneida,43.2001,-75.4663,27.23,69,75,0.0,US,1689698651
131,leh,34.1667,77.5833,22.19,33,19,2.78,IN,1689698618
132,port-gentil,-0.7193,8.7815,23.98,83,40,4.12,GA,1689698812
133,dudinka,69.4058,86.1778,14.18,75,100,7.53,RU,1689698812
134,yujing,23.1249,120.4614,25.68,82,100,0.91,TW,1689698812
135,burutu,5.3509,5.5076,26.45,81,100,4.5,NG,1689698812
136,leua,48.2156,18.6071,30.83,45,0,2.44,SK,1689698813
137,khash,28.2211,61.2158,32.24,15,47,4.66,IR,1689698770
138,garachico,28.7781,-17.7646,23.6,69,75,5.14,ES,1689698813
